Height (m),Elevation Scale Factor,Bands,,,,,,,,,
0,1,,,,,,,,,,
80,0.9999875,000m to 160m (mean site height 80m) - BAND 1,,,,,,,,,
160,0.999975,,,,,,,,,,
240,0.9999625,160m to 320m (mean site height 80m) - BAND 1,,,,,,,,,
320,0.99995,,,,,,,,,,
400,0.9999375,320m to 480m (mean site height 80m) - BAND 1,,,,,,,,,
480,0.999925,,,,,,,,,,
520,0.9999125,480m to 640m (mean site height 80m) - BAND 1,,,,,,,,,
640,0.9999,,,,,,,,,,
720,0.9998875,640m to 800m (mean site height 80m) - BAND 1,,,,,,,,,
800,0.999875,,,,,,,,,,
